id,nom,slug,typologie,typologie_brute,type_communecter,domaines,specialites,offre,partenaires,siren,description_courte,site_web,email,telephone,adresse,ville,code_postal,pays_code,pays,region,latitude,longitude,tags,logo_url,logo_medium_url,logo_thumb_url,url_communecter,date_creation,date_maj
6996aa532a32db28bc711211,Australian Information Security Association (AISA),australianInformationSecurityAssociationAisa,Association/ONG,Association/ONG | Sensibilisation | Sécurité Réseau | Consultant GRC | Awareness Security,NGO,Sensibilisation | Sécurité Réseau | Consultant GRC | Awareness Security,Consultant GRC | Awareness Security,,,,,https://www.aisa.org.au/,,,NSW,Sydney,2000,AU,Australie,Australie,-33.8775982,151.2011799,Association/ONG | Sensibilisation | Sécurité Réseau | Consultant GRC | Awareness Security,https://www.communecter.org/upload/communecter/organizations/6996aa532a32db28bc711211/pastedimage.png,https://www.communecter.org/upload/communecter/organizations/6996aa532a32db28bc711211/medium/pastedimage.png,https://www.communecter.org/upload/communecter/organizations/6996aa532a32db28bc711211/thumb/pastedimage.png,https://www.communecter.org/#@australianInformationSecurityAssociationAisa,1771481777,1771487502
6979fe5319e18946a32913d6,Cyber SWAT MG,cyberSwatMg,Association/ONG,Association/ONG,LocalBusiness,Cybersécurité Offensive (Pentest),Ethical hacking,,,,"Pentesting, sensibilisation, éthique & sécurité info",https://cyberswat.mg/,,+261 34 12 345 67,,Antananarivo,,MG,Madagascar,Madagascar,-18.9100122,47.5255809,Association/ONG | Cybersécurité Offensive (Pentest) | Ethical hacking,https://www.communecter.org/upload/communecter/organizations/6979fe5319e18946a32913d6/pastedimage.png,https://www.communecter.org/upload/communecter/organizations/6979fe5319e18946a32913d6/medium/pastedimage.png,https://www.communecter.org/upload/communecter/organizations/6979fe5319e18946a32913d6/thumb/profil-resized.png,https://www.communecter.org/#@cyberSwatMg,1769602964,1770201691
698f23ff6af801792369ab3f,Data Security Council of India (DSCI),dataSecurityCouncilOfIndiaDsci,Association/ONG,Association/ONG,NGO,Standards cyber | Sensibilisation,Consultant GRC | Sensibilisation,,,,,https://www.dsci.in/,,+91-120-4990253,"Nasscom Campus, Plot 7-10, Sector 126",Noida,,IN,Inde,Inde,28.5706333,77.3272147,Association/ONG | Standards cyber | Sensibilisation | Consultant GRC,https://www.communecter.org/upload/communecter/organizations/698f23ff6af801792369ab3f/pastedimage.png,https://www.communecter.org/upload/communecter/organizations/698f23ff6af801792369ab3f/medium/pastedimage.png,https://www.communecter.org/upload/communecter/organizations/698f23ff6af801792369ab3f/thumb/pastedimage.png,https://www.communecter.org/#@dataSecurityCouncilOfIndiaDsci,1770988638,1770988639
698f373998c09a257604c419,Kenya Cyber Security and Forensics Association (KCSFA),sfa,Association/ONG,Association/ONG,NGO,Sensibilisation | Partage expertise | Networking,"Consultant GRC,Awareness | Analyste Forensic",,,,,https://www.kcsfa.co.ke/,,+254 798 569 215,RNG Plaza,Nairobi,,KE,Kenya,Kenya,-1.2890006,36.8172812,Association/ONG | Sensibilisation | Partage expertise | Networking | Consultant GRC | Awareness | Analyste Forensic,,,,https://www.communecter.org/#@sfa,1770993633,1770993634
6979cb67e9bd6200a64b056a,Solidarnum,solidarnum3,Association/ONG,Association/ONG,NGO,Sécurité Opérationnelle et Gouvernance (SOC),Consultant GRC,,,,,https://solidarnum.org/presentation-de-l-association.html,contact@solidarnum.org,+262 262 56 62 11 | 02 62 56 62 11,"18 Rue Albert Lougnon, Parc Technor",SAINTE-CLOTILDE,97490,RE,La Réunion,Réunion,-20.904334,55.499345,Association/ONG | Sécurité Opérationnelle et Gouvernance (SOC) | Consultant GRC,https://www.communecter.org/upload/communecter/organizations/6979cb67e9bd6200a64b056a/solidarnium.jpeg,https://www.communecter.org/upload/communecter/organizations/6979cb67e9bd6200a64b056a/medium/solidarnium.jpeg,https://www.communecter.org/upload/communecter/organizations/6979cb67e9bd6200a64b056a/thumb/profil-resized.png,https://www.communecter.org/#@solidarnum3,1769589607,1770195437
697b27d1e0442b0a791632a2,CERT-MU,certmu,CERT/CSIRT,CERT/CSIRT,NGO,Agence nationale cybersécurité / CERT,,,,,,,vulnerability@cert.govmu.org,,"7th Floor, Stratton Court, La Poudrière Street, Port Louis, Mauritius",Port-Louis,11308,MU,Maurice,Mauritius,-20.1637281,57.5045331,CERT/CSIRT,https://www.communecter.org/upload/communecter/organizations/697b27d1e0442b0a791632a2/CERT.png,https://www.communecter.org/upload/communecter/organizations/697b27d1e0442b0a791632a2/medium/CERT.png,https://www.communecter.org/upload/communecter/organizations/697b27d1e0442b0a791632a2/thumb/profil-resized.png,https://www.communecter.org/#@certmu,1769678801,1769678801
697c8ce9eca054203659c6cc,Computer Emergency Readiness Team (CERT),computerEmergencyReadinessTeamCert,CERT/CSIRT,CERT/CSIRT | Sécurité Opérationnelle et Gouvernance (SOC),NGO,Sécurité Opérationnelle et Gouvernance (SOC),Incident Responder,,,,,https://www.cert.gov.lk/,cert@cert.gov.lk,+94 11 269 1692,"BMICH, Bauddhaloka Mawatha, Colombo 07",Colombo,,LK,Sri Lanka,Sri Lanka,6.9012338,79.8725492,CERT/CSIRT | Sécurité Opérationnelle et Gouvernance (SOC),https://www.communecter.org/upload/communecter/organizations/697c8ce9eca054203659c6cc/pastedimage.png,https://www.communecter.org/upload/communecter/organizations/697c8ce9eca054203659c6cc/medium/pastedimage.png,https://www.communecter.org/upload/communecter/organizations/697c8ce9eca054203659c6cc/thumb/pastedimage.png,https://www.communecter.org/#@computerEmergencyReadinessTeamCert,1769770962,1769772220
6a17f50432a13c33536779cd,Computer Emergency Response Team of Mauritius (CERT-MU),tmu,CERT/CSIRT,CERT/CSIRT,GovernmentOrganization,,,,,,CSIRT national mauricien / réponse aux incidents.,https://cert-mu.govmu.org,incident@cert.govmu.org,,,,,,,,,,,https://www.communecter.org/upload/communecter/organizations/6a17f50432a13c33536779cd/mlogov2.jpg,https://www.communecter.org/upload/communecter/organizations/6a17f50432a13c33536779cd/medium/mlogov2.jpg,https://www.communecter.org/upload/communecter/organizations/6a17f50432a13c33536779cd/thumb/profil-resized.png,https://www.communecter.org/#@tmu,1779954948,1779954950
6a1988c57afd2b57293e2e39,Computer Emergency Response Team Seychelles (CERT-SC),sc1,CERT/CSIRT,CERT/CSIRT,GovernmentOrganization,,,,,,"CERT-SC est l’équipe nationale de réponse aux incidents informatiques chargée de la veille, de la réponse aux cyberincidents et de la sensibilisation nationale.",https://cert-sc.sc/,,,"P.O. Box 737, 3rd Floor, Caravel House, Manglier Street, Victoria, Mahé, Seychelles",Victoria,,SC,Seychelles,Seychelles,-4.6232085,55.4523590,,https://www.communecter.org/upload/communecter/organizations/6a1988c57afd2b57293e2e39/faviconV2.png,https://www.communecter.org/upload/communecter/organizations/6a1988c57afd2b57293e2e39/medium/faviconV2.png,https://www.communecter.org/upload/communecter/organizations/6a1988c57afd2b57293e2e39/thumb/profil-resized.png,https://www.communecter.org/#@sc1,1780058309,1780058310
6a1fd5343705be472103b6ba,Computer Incident Response Team Madagascar,computerIncidentResponseTeamMadagascar,CERT/CSIRT,CERT/CSIRT,GovernmentOrganization,,,,,,CIRT national transitoire placé auprès de l’Unité de Gouvernance Digitale.,https://digital.gov.mg/ ; https://digital.gov.mg/wp-content/uploads/2025/06/TDR-Head-manager-CIRT.pdf ; https://mg.linkedin.com/company/ugd-mg,contact@digital.gov.mg,,"Village des Jeux Ankorondrano, Bâtiment D1, Antananarivo Madagascar 101",Antananarivo,,MG,Madagascar,Madagasikara,-18.9100122,47.5255809,,https://www.communecter.org/upload/communecter/organizations/6a1fd5343705be472103b6ba/h3logo.png,https://www.communecter.org/upload/communecter/organizations/6a1fd5343705be472103b6ba/medium/h3logo.png,https://www.communecter.org/upload/communecter/organizations/6a1fd5343705be472103b6ba/thumb/profil-resized.png,https://www.communecter.org/#@computerIncidentResponseTeamMadagascar,1780471092,1780471093
6a1945e1acc42e5a5c5e91ba,Computer Security Incident Response Team - Power,computerSecurityIncidentResponseTeamPower,CERT/CSIRT,CERT/CSIRT,,,,,,,"Équipe sectorielle de réponse aux incidents pour le secteur électrique, rattachée à l’écosystème des infrastructures critiques énergétiques.",https://cea.nic.in,,,"Central Electricity Authority, Sewa Bhawan, R. K. Puram, New Delhi 110066, India",New Delhi,,IN,Inde,India,28.6138954,77.2090057,,https://www.communecter.org/upload/communecter/organizations/6a1945e1acc42e5a5c5e91ba/1780048535_faviconV2.jpg,https://www.communecter.org/upload/communecter/organizations/6a1945e1acc42e5a5c5e91ba/medium/1780048535_faviconV2.jpg,https://www.communecter.org/upload/communecter/organizations/6a1945e1acc42e5a5c5e91ba/thumb/profil-resized.png,https://www.communecter.org/#@computerSecurityIncidentResponseTeamPower,1780041185,1780048534
697c7e7fdc9d417fef0370fd,CSIRT,csirt,CERT/CSIRT,CERT/CSIRT | Sécurité Opérationnelle et Gouvernance (SOC),NGO,Sécurité Opérationnelle et Gouvernance (SOC),Analyste SOC | Incident Responder,,,,,https://ncsirt.mz/,ncsirt@ncsirt.mz,+258 843 649 222,Av. Vladimir Lenine,Maputo,,MZ,Mozambique,Mozambique,-25.9673320,32.5783375,CERT/CSIRT | Sécurité Opérationnelle et Gouvernance (SOC),https://www.communecter.org/upload/communecter/organizations/697c7e7fdc9d417fef0370fd/1769770090_pastedimage.png,https://www.communecter.org/upload/communecter/organizations/697c7e7fdc9d417fef0370fd/medium/1769770090_pastedimage.png,https://www.communecter.org/upload/communecter/organizations/697c7e7fdc9d417fef0370fd/thumb/1769770090_pastedimage.png,https://www.communecter.org/#@csirt,1769770009,1769770092
697c9ccd6651235f453557de,Financial Sector Computer Security Incident Response Team (FinCSIRT),seTeamFincsirt,CERT/CSIRT,CERT/CSIRT | Sécurité Opérationnelle et Gouvernance (SOC),NGO,Sécurité Opérationnelle et Gouvernance (SOC),Incident Responder,,,,,https://www.fincsirt.lk/,,(+94) 112039777,Central Bank of Sri Lanka,Colombo,,LK,Sri Lanka,Sri Lanka,6.9339384,79.8422864,CERT/CSIRT | Sécurité Opérationnelle et Gouvernance (SOC),https://www.communecter.org/upload/communecter/organizations/697c9ccd6651235f453557de/pastedimage.png,https://www.communecter.org/upload/communecter/organizations/697c9ccd6651235f453557de/medium/pastedimage.png,https://www.communecter.org/upload/communecter/organizations/697c9ccd6651235f453557de/thumb/pastedimage.png,https://www.communecter.org/#@seTeamFincsirt,1769774415,1769774415
698f1e12a147ad56432d5988,Indian Computer Emergency Response Team,indianComputerEmergencyResponseTeam,CERT/CSIRT,CERT/CSIRT,NGO,Coordination réponse,Incident Responder | Analyste SOC,,,,,https://www.cert-in.org.in/,,,CERT-In,New Delhi,,IN,Inde,Inde,28.6138954,77.2090057,CERT/CSIRT | Incident Responder | Analyste SOC | Coordination réponse,https://www.communecter.org/upload/communecter/organizations/698f1e12a147ad56432d5988/pastedimage.png,https://www.communecter.org/upload/communecter/organizations/698f1e12a147ad56432d5988/medium/pastedimage.png,https://www.communecter.org/upload/communecter/organizations/698f1e12a147ad56432d5988/thumb/pastedimage.png,https://www.communecter.org/#@indianComputerEmergencyResponseTeam,1770987439,1770987439
698f3696ab6b8c4a06360b84,KENET-CERT (KENYA EDUCATION NETWORK),kenetcertKenyaEducationNetwork,CERT/CSIRT,CERT/CSIRT,NGO,"Cyber incidents académiques,Awareness",Analyste SOC | Formation technique,,,,,https://cert.kenet.or.ke/,,+254-732-150500,University of Nairobi,Nairobi,,KE,Kenya,Kenya,-1.2796562,36.8161470,CERT/CSIRT | Cyber incidents académiques | Awareness | Analyste SOC | Formation technique,https://www.communecter.org/upload/communecter/organizations/698f3696ab6b8c4a06360b84/pastedimage.png,https://www.communecter.org/upload/communecter/organizations/698f3696ab6b8c4a06360b84/medium/pastedimage.png,https://www.communecter.org/upload/communecter/organizations/698f3696ab6b8c4a06360b84/thumb/pastedimage.png,https://www.communecter.org/#@kenetcertKenyaEducationNetwork,1770993436,1770993436
6a17f50c32a13c33536779d3,Mauritian Cybercrime Online Reporting System (MAUCORS+),ors,CERT/CSIRT,CERT/CSIRT,GovernmentOrganization,,,,,,Plateforme nationale de signalement cyber.,https://maucors.govmu.org,,,,Port-Louis,,MU,Maurice,Mauritius,-20.1637281,57.5045331,,https://www.communecter.org/upload/communecter/organizations/6a17f50c32a13c33536779d3/mlogov2.jpg,https://www.communecter.org/upload/communecter/organizations/6a17f50c32a13c33536779d3/medium/mlogov2.jpg,https://www.communecter.org/upload/communecter/organizations/6a17f50c32a13c33536779d3/thumb/profil-resized.png,https://www.communecter.org/#@ors,1779954956,1779954959
6a1837a84109923116640de9,MoRENet CSIRT (MZ),morenetCsirtMz,CERT/CSIRT,CERT/CSIRT,GovernmentOrganization,,,,,,,https://trustbroker.africa/registry/teams/morenet-csirt-mz.html,cert@morenet.ac.mz,,"Estrada Nacional no 1, Km 60, District of Manhica",Maputo,,MZ,Mozambique,Mozambique,-25.9662130,32.5674500,,,,,https://www.communecter.org/#@morenetCsirtMz,1779972008,1780033431
6a197304cf4fb9517452b0a4,National CIRT/CERT Maldives,nationalCirtcertMaldives,CERT/CSIRT,CERT/CSIRT,GovernmentOrganization,,,,,,Fonction nationale de réponse aux incidents informatiques ; dispositif public lié à la montée en capacité cyber des Maldives.,https://hub.ncsa.gov.mv/,,,,Malé,,MV,Maldives,Maldives,4.1779879,73.5107387,,https://www.communecter.org/upload/communecter/organizations/6a197304cf4fb9517452b0a4/1780054089_faviconV2.png,https://www.communecter.org/upload/communecter/organizations/6a197304cf4fb9517452b0a4/medium/1780054089_faviconV2.png,https://www.communecter.org/upload/communecter/organizations/6a197304cf4fb9517452b0a4/thumb/profil-resized.png,https://www.communecter.org/#@nationalCirtcertMaldives,1780052740,1780054089
697ca1f39591ca2d06433896,National Cyber Security Agency (NCSA),nationalCyberSecurityAgencyNcsa,CERT/CSIRT,CERT/CSIRT | Sécurité Opérationnelle et Gouvernance (SOC),NGO,Sécurité Opérationnelle et Gouvernance (SOC),Auditeur de sécurité,,,,,https://hub.ncsa.gov.mv/,,,,,,,,,,,CERT/CSIRT | Sécurité Opérationnelle et Gouvernance (SOC),https://www.communecter.org/upload/communecter/organizations/697ca1f39591ca2d06433896/pastedimage.png,https://www.communecter.org/upload/communecter/organizations/697ca1f39591ca2d06433896/medium/pastedimage.png,https://www.communecter.org/upload/communecter/organizations/697ca1f39591ca2d06433896/thumb/pastedimage.png,https://www.communecter.org/#@nationalCyberSecurityAgencyNcsa,1769775867,1769775868
6a17edfd01a3e92ad654106e,National Cyber Security Operations Center,nationalCyberSecurityOperationsCenter,CERT/CSIRT,CERT/CSIRT,GovernmentOrganization,,,,,,,https://ncsoc.gov.lk/,,,"Room 4-112, BMICH, Bauddhaloka Mawatha, Colombo 07, Sri Lanka",Colombo,,LK,Sri Lanka,Sri Lanka,6.9388614,79.8542005,,https://www.communecter.org/upload/communecter/organizations/6a17edfd01a3e92ad654106e/1779954660_Logo-one.webp,https://www.communecter.org/upload/communecter/organizations/6a17edfd01a3e92ad654106e/medium/1779954660_Logo-one.webp,https://www.communecter.org/upload/communecter/organizations/6a17edfd01a3e92ad654106e/thumb/profil-resized.png,https://www.communecter.org/#@nationalCyberSecurityOperationsCenter,1779953149,1779954657
6a1fbad05479565a286b3ea6,National KE-CIRT/CC,nationalKecirtcc,CERT/CSIRT,CERT/CSIRT,GovernmentOrganization,,,,,,"Equipe nationale de réponse aux incidents informatiques du Kenya, hébergée par la Communications Authority of Kenya.",https://ke-cirt.go.ke/,incidents@ke-cirt.go.ke,,"Communications Authority of Kenya, P.O. Box 14448, Nairobi 00800, Kenya",Nairobi,800,KE,Kenya,Kenya,-1.2890006,36.8172812,,https://www.communecter.org/upload/communecter/organizations/6a1fbad05479565a286b3ea6/faviconV2.png,https://www.communecter.org/upload/communecter/organizations/6a1fbad05479565a286b3ea6/medium/faviconV2.png,https://www.communecter.org/upload/communecter/organizations/6a1fbad05479565a286b3ea6/thumb/profil-resized.png,https://www.communecter.org/#@nationalKecirtcc,1780464336,1780464336
6a18377c4109923116640dcd,nCSIRT.MZ - CSIRT Nacional de Moçambique,ncsirtmzCsirtNacionalDeMocambique,CERT/CSIRT,CERT/CSIRT,GovernmentOrganization,,,,,,,https://ncsirt.mz/,ncsirt@ncsirt.mz,,"Rua José Mateus, No. 437, 1° Andar",Maputo,,MZ,Mozambique,Mozambique,-25.9662130,32.5674500,,,,,https://www.communecter.org/#@ncsirtmzCsirtNacionalDeMocambique,1779971964,1780033381
